ignore,Type,Question
w,Smitten & Bitten,What physical attribute you find attractive in a person?
w,Smitten & Bitten,What does your ideal hangout look like?
w,Smitten & Bitten,What is the worst way for someone to propose?
w,Smitten & Bitten,What's your opinions on “Stop chasing love and love will find you”
w,Smitten & Bitten,What’s your love life like in one word?
w,Smitten & Bitten,How does having a crush feel?
w,Smitten & Bitten,Do you believe in love at first sight?
w,Smitten & Bitten,Do you prefer being the pursuer or the pursued in dating?
w,Smitten & Bitten,What top 3 qualities do you find attractive in a person?
w,Smitten & Bitten,What’s your immediate turn off?
w,Just silly things,Put on make up for the other person
w,Just silly things,Something you still cringe about when going to sleep
w,Just silly things,Would you and your clone get along?
w,Just silly things,What is the most beautiful thing in the world?
w,Just silly things,Would you rather fight a horse-sized duck or 100 duck sized horses?
w,Just silly things,What’s your weird belief?
w,Just silly things,Is it better to be a grownup or a kid?
w,Just silly things,What is the most trivial thing about which you have a strong opinion?
w,Just silly things,What’s your favorite song lyric?
w,Just silly things,If you were an object&#44; what would you be?
w,Just silly things,What did you expect to hate but actually loved?
w,Just silly things,If you could live without sleep&#44; what would you use that time for?
w,Just silly things,If you were a food&#44; what would it be?
w,Just silly things,What is the quality you admire the most in the person you like the least?
w,Just silly things,What is always funny?
w,Just silly things,What scientific or technological advance blows your mind?
w,Just silly things,What small&#44; insignificant thing gives you joy?
w,Just silly things,Make a wish then tell the other person for safekeeping
w,Just silly things,60s minute staring contest start NOW!
w,Just silly things,Butter me up
w,Just silly things,What’s something you’re grateful for right now?
w,Know you better,Build a playlist together
w,Know you better,What do you value most in a friendship?
w,Know you better, Biggest fear in any relationship?
w,Know you better,What’s your love language? (the non-conventional ones)
w,Know you better,What’s your love language? (The conventional ones)
w,Know you better,What’s your biggest ick in a person?
w,Know you better,What’s one thing not many people know about you?
w,Know you better,What kind of friend do you try to be?
w,Know you better,What’s the one thing people should to do to you more?
w,Know you better,What is something you never thought you’d be able to do&#44; until you actually did it?
w,Know you better,What’s changed the most about you in the past two years?
w,Know you better,What's a misconception people have about you?
w,Know you better,What is the best compliment you’ve ever received?
w,Know you better,What character trait makes you instantly respect somebody?
w,Know you better,What’s your favourite thing about yourself?
w,Know you better,What’s the fastest way to make you mad?
w,Know you better,What's your biggest fear in a long-term relationship?
w,Know you better,A memory of us that's always funny to think about?
w,Know you better,What’s your beige flag?
w,Know you better,Ask me anything
w,Know you better,If you came with a "user manual"&#44; what would be on the first page?
w,Know you better,Do you believe in soulmates?
w,Know you better,What's your own red flag in relationships?
w,Know you better,What’s you first impression of me? How is it different now?
w,Smitten & Bitten,What is your biggest ""green flag" in a partner?
w,Know you better,What do you think we share in common?
w,Know you better,What’s a song that will always be sad to you?
w,Know you better,What’s your deep, dark, irrational fear?
w,Life is a Lemon,What was your dream job as a kid?
w,Life is a Lemon,What are some of your goals 1 year from now?
w,Life is a Lemon,What will you be nostalgic for in 30 years?
w,Life is a Lemon,What are you’re 3 non-negotiable goals in life?
w,Life is a Lemon,The best advice you’ve ever heard?
w,Life is a Lemon,What’s one thing in your life right now you never want to change?
w,Life is a Lemon,What would you like to change about your life right now?
w,Life is a Lemon,Do you believe in fate? Or is everything mostly chaos?
w,Life is a Lemon,What job would you choose to have if money were no object?
w,Just silly things,Recommend the other person a media they'd definitely love (and obligated to pick it up)
w,Know you better,Favourite time of the day?
w,Know you better,Did I ever cross you?
w,Know you better,How have you been? Like really&#44; how have you been? 
w,Know you better,What's something we should do more together?
w,Know you better,Hug it out? Yes? No? Maybe? Please?
w,Just silly things,What's something people should care less about?
w,Just silly things,Pick a NEW nickname for each other
w,Know you better,Favourite childhood memory?
w,Know you better,Favorite small gesture?
w,Just silly things,If you could wake up tomorrow with any one new skill or talent&#44; what would it be?
w,Know you better,How did you meet your friends?
w,Know you better,If you could know the absolute truth about one thing in your life or future&#44; what would it be?
w,Know you better,What's your proudest achievement so far?
w,Know you better,What have you always wanted to do but haven't yet? Why?
w,Know you better,Most terrible memory?
